Id,SalePrice
1461,115386.57332667267
1462,137606.17667982765
1463,174650.09222482302
1464,187341.64459379902
1465,210889.6823837911
1466,175795.84612731636
1467,172573.05409660775
1468,171847.4025058896
1469,189977.85811804302
1470,114779.8084710812
1471,188816.5145074231
1472,108639.02645007185
1473,103120.70799850533
1474,156800.95375162092
1475,125869.714860568
1476,368949.22214176756
1477,271406.2071417549
1478,309577.0024534652
1479,303537.6347936811
1480,476590.63217314944
1481,330669.28518412204
1482,246664.3445582607
1483,166821.47910666582
1484,173498.79110766674
1485,186389.94509397956
1486,197919.050887288
1487,321356.9534907403
1488,250331.47180232857
1489,186798.7319913958
1490,218174.53865386834
1491,186324.56034838504
1492,111724.57436145633
1493,177583.11905630195
1494,307325.4538599148
1495,320927.6746713817
1496,230581.1950898278
1497,186062.9766713634
1498,172987.7106127283
1499,175587.90172708593
1500,162084.08164939447
1501,164595.6158855517
1502,170775.66731560792
1503,268768.6204733438
1504,242415.26710526383
1505,225007.36091417642
1506,179526.16539528695
1507,238819.2668871028
1508,193932.24865483606
1509,159355.35159409125
1510,133978.38357312206
1511,138854.47676202553
1512,146368.14466749143
1513,147834.071373005
1514,157984.67122187925
1515,191753.12297781822
1516,144836.62256326614
1517,155326.20329548902
1518,141238.2345330194
1519,193860.7459051438
1520,121554.50327058492
1521,124982.02805343228
1522,167398.90797917952
1523,104325.2508655723
1524,108603.09579346885
1525,114103.51797647799
1526,112921.63920976527
1527,105755.16834931275
1528,138889.92904235714
1529,130117.33676500815
1530,168094.27256744212
1531,123165.16608153547
1532,96893.18758052972
1533,127538.05056695345
1534,130489.08238991392
1535,154067.36631194834
1536,108138.89988014828
1537,95397.93586108496
1538,157587.0925021737
1539,167749.24698035588
1540,118834.1147900987
1541,139229.41302116448
1542,142069.4745937033
1543,188911.4781433187
1544,89671.81788195438
1545,114061.73049017288
1546,136152.9579503731
1547,128921.76892941307
1548,122235.64322230601
1549,114611.65246833448
1550,135548.29250686397
1551,128073.14192309724
